segment,count,actual_mean,predicted_mean,bias,mae,rmse,mape,r2
低功率段(<5k),218,1344.4380733944954,7354.812252607186,6010.37417921269,6177.309131229084,8419.75732978308,534.38043291141,-28.54675400478493
中低功率段(5-15k),191,9642.238743455498,13552.68747248759,3910.448729032092,6018.614176431086,7133.515462154424,68.04198098797136,-6.2716795315829525
中高功率段(15-30k),238,22150.735714285714,24835.86882373721,2685.133109451497,5445.465154615094,6723.947376214303,25.628241692572466,-1.48888159429498
高功率段(>30k),121,34914.216694214876,25787.706314422412,-9126.510379792464,10034.335154953076,12621.685539004073,27.632295144465672,-12.5583923817117
