timestamp,predicted_power,实际数据
2025/7/31 9:15,4741.1284,6018.23
2025/7/31 9:30,5026.894,5116.26
2025/7/31 9:45,5215.524,5327.57
2025/7/31 10:00,6705.0503,5476.82
2025/7/31 10:15,6293.9336,5207.96
2025/7/31 10:30,3620.0544,3086.93
2025/7/31 10:45,2239.5176,1668.61
2025/7/31 11:00,2773.331,761.69
2025/7/31 11:15,3761.2449,655.8
2025/7/31 11:30,4526.494,0
2025/7/31 11:45,3348.916,2021.1
2025/7/31 12:00,4302.291,2138.51
2025/7/31 12:15,3538.118,1509
2025/7/31 12:30,2948.521,3415.87
2025/7/31 12:45,2798.1638,3450.61
2025/7/31 13:00,2265.345,3126.11
2025/7/31 13:15,1110.9559,3019.2
2025/7/31 13:30,291.7448,3075.32
2025/7/31 13:45,3456.5447,3215.26
2025/7/31 14:00,1987.731,5624.77
2025/7/31 14:15,1722.499,5533.94
2025/7/31 14:30,2038.9902,5427.29
2025/7/31 14:45,806.84424,5546.16
2025/7/31 15:00,1170.3141,7223.1
2025/7/31 15:15,1147.9843,7418.16
2025/7/31 15:30,2867.59,7478.72
2025/7/31 15:45,2933.56,7722.39
2025/7/31 16:00,3828.961,7661.68
2025/7/31 16:15,3071.3503,7472.3
2025/7/31 16:30,3504.9768,7770.8
2025/7/31 16:45,2956.5078,10028.84
2025/7/31 17:00,2962.3992,10214.73
2025/7/31 17:15,3569.838,9980.29
2025/7/31 17:30,4633.9736,9952.51
2025/7/31 17:45,4184.571,8681.16
2025/7/31 18:00,4013.9392,8934.41
2025/7/31 18:15,4570.4775,7751.95
2025/7/31 18:30,5988.9355,9383.36
2025/7/31 18:45,8512.09,9425.46
2025/7/31 19:00,6830.441,9757.76
2025/7/31 19:15,7810.7266,9640.97
2025/7/31 19:30,7858,8013.62
2025/7/31 19:45,8061.9756,7915.2
2025/7/31 20:00,7941.507,9277.74
2025/7/31 20:15,6865.0825,9789
2025/7/31 20:30,8726.64,8593.22
2025/7/31 20:45,7465.0312,8489.34
2025/7/31 21:00,14906.671,11168.57
2025/7/31 21:15,14027.588,10943.67
2025/7/31 21:30,15170.4,11143.81
2025/7/31 21:45,13532.543,11031.35
2025/7/31 22:00,14824.099,11159.69
2025/7/31 22:15,14722.401,11129.83
2025/7/31 22:30,16401.135,11167.14
2025/7/31 22:45,12703.168,11124.34
2025/7/31 23:00,11690.636,9613.18
2025/7/31 23:15,13829.785,8435.14
2025/7/31 23:30,15369.192,6978.62
2025/7/31 23:45,15207.419,4788.05
,,
