timestamp,predicted_power,实际功率
2025/6/1 8:15,13434.323,25874.7
2025/6/1 8:30,15667.026,26159.62
2025/6/1 8:45,14764.974,28708.69
2025/6/1 9:00,13860.119,28047.3
2025/6/1 9:15,14081.381,27031.66
2025/6/1 9:30,17250.75,28755.04
2025/6/1 9:45,17252.57,29034.28
2025/6/1 10:00,20329.621,29621.87
2025/6/1 10:15,18352.896,27459.7
2025/6/1 10:30,17987.695,28064.33
2025/6/1 10:45,15953.598,30979.62
2025/6/1 11:00,13169.9795,31070.26
2025/6/1 11:15,15672.64,33896.65
2025/6/1 11:30,16650.855,31752.79
2025/6/1 11:45,17908.588,27337.4
2025/6/1 12:00,18454.225,25660.95
2025/6/1 12:15,20662.6,28346.79
2025/6/1 12:30,21140.861,32017.31
2025/6/1 12:45,24727.254,30180.77
2025/6/1 13:00,25138.904,27807.98
2025/6/1 13:15,25535.535,31021.13
2025/6/1 13:30,26530.564,32401.62
2025/6/1 13:45,26530.564,34585.57
2025/6/1 14:00,29098.62,31944.34
2025/6/1 14:15,29098.62,30400.29
2025/6/1 14:30,28445.023,33618.73
2025/6/1 14:45,29073.578,34756.56
2025/6/1 15:00,26407.033,34197.02
2025/6/1 15:15,26407.033,34553.56
2025/6/1 15:30,27271.994,30485.67
2025/6/1 15:45,27555.318,34256.55
2025/6/1 16:00,27308.678,33246.44
2025/6/1 16:15,24530.053,32903.52
2025/6/1 16:30,24105.291,27404.59
2025/6/1 16:45,24242.463,31061.9
2025/6/1 17:00,24964.182,27681.17
2025/6/1 17:15,27100.96,25218.92
2025/6/1 17:30,24322.033,21216.34
2025/6/1 17:45,24834.695,18505.16
2025/6/1 18:00,27252.78,18135.4
2025/6/1 18:15,24710.438,17065.29
2025/6/1 18:30,22822.205,13498.78
2025/6/1 18:45,23617.734,15738.81
2025/6/1 19:00,25434.775,15038.84
2025/6/1 19:15,23208.014,15276.06
2025/6/1 19:30,22481.812,15040.21
2025/6/1 19:45,21889.08,15109.6
2025/6/1 20:00,20061.15,14970.03
2025/6/1 20:15,18023.674,15099.66
2025/6/1 20:30,17914.156,17843.6
2025/6/1 20:45,16228.099,17818.67
2025/6/1 21:00,16891.77,17697.76
2025/6/1 21:15,15500.206,17787.27
2025/6/1 21:30,12645.006,24080.08
2025/6/1 21:45,14769.398,30075.2
2025/6/1 22:00,17835.154,33507.25
2025/6/1 22:15,15602.498,31383.19
2025/6/1 22:30,13689.701,34607.44
2025/6/1 22:45,11233.854,33773.99
2025/6/1 23:00,13580.303,31486.37
2025/6/1 23:15,14749.113,29375.97
2025/6/1 23:30,17078.854,34229.88
2025/6/1 23:45,17680.568,30874.04
2025/6/2 0:00,21617.191,30608.46
2025/6/2 0:15,20408.807,34417.22
2025/6/2 0:30,20977.277,32926.62
2025/6/2 0:45,22708.176,36765.32
2025/6/2 1:00,21834.34,36052.32
2025/6/2 1:15,21469.105,36777.58
2025/6/2 1:30,20052.473,34962.41
2025/6/2 1:45,18426.648,33789.03
2025/6/2 2:00,16707.562,28516.5
2025/6/2 2:15,13624.802,31116.73
2025/6/2 2:30,14246.964,28234.53
2025/6/2 2:45,11525.774,26578.34
2025/6/2 3:00,12827.954,18910.61
2025/6/2 3:15,15144.548,15285.55
